Course Code,Course Name,Course Credits,Prerequisite(s),Exclusion(s),Corequisite(s),Co-list with,Mode of Delivery,Previous Course Code(s),Alternate code(s),Description
gfin5200,Global Macro & Asian Markets,[2-0-0:2],,,,,,,,This course introduces students to macroeconomic forces that affect global and Asian financial markets. Students will discuss various global macroeconomic concepts@ the influences of global finance on long-run economic growth@ and the structure/size of foreign exchange markets. This course will also cover recent developments in global/Asian financial markets@ macroeconomics in a post-crises world@ and exchange rates.
gfin5300,FinTech,[1-0-0:1],,,,,,,,The course will introduce the current state of FinTech and discuss how financial institutions and their stakeholders are being affected by new technologies. Students will understand how traditional business models are being impacted by the application of new technologies and how financial innovation impacts money and payment systems. The course offers a combination of case studies@ lectures@ and guest speaker sessions@ and will identify current trends and opportunities within the FinTech ecosystem.
gfin5400,Asset Allocation,[1-0-0:1],,GFIN 5030 (Prior to 2019-20),,,,,,The course builds on GFIN 5010 Foundations of Investments to provide students with tools and knowledge in global asset allocation. Topics include major investable markets and players@ asset allocation@ performance evaluation@ strategies and performance of hedge funds@ and factor models.
gfin5500,Behavioral Finance,[1-0-0:1],,FINA 5420 (prior to 2020-21),,,,,,A growing strand of research suggests that the standard economic paradigm - rational investors in an efficient market - does not adequately describe behavior in financial markets. Behavioral finance combines the latest findings of behavioral and cognitive psychological theory with conventional economics and finance to provide alternative explanations of financial market behavior. We will examine how psychology of decision making under conditions of risk and uncertainty affects the traditional paradigm@ while paying attention to practical applications for portfolio and investment management.
gfin6010,Topics in Financial Markets and Governance,[1-0-0:1],,,,,,GFIN 601,,A capstone course covering advanced topics in finance@ the selection of which will depend on market developments and students# interest.  The course builds on material covered in the other courses in the program@ and is taught at the research-driven frontier.
gfin6980,Integrative Project in Global Finance,[4 credits],,,,,,GFIN 698,,The aim of the project is to enable students to apply what they have learned in each course unit and to draw on their practical experience in the global banking and financial markets.  Students are assigned to work in groups on a team project throughout the year and will culminate with a presentation to a panel of faculty.
hhms5001,Financial Accounting,[2-0-0:2],,,,,,,,This course focuses on the construction and interpretation of corporate financial reports@ which are used by external parties (including investors@ creditors@ and regulators). Actual financial statements from real companies are discussed so that students become accustomed to the many variations that these reports take. Students gain a solid understanding of financial statements and the ability to use them for decision-making. Real-company examples for both Russian and Chinese companies are used as illustrations.
hhms5002,Corporate Finance,[2-0-0:2],,,,,,,,The aim of the course is to provide students with the framework@ concepts@ and tools for analyzing financial and strategic decisions made by firms and managers. The course will enhance the students# ability to analyze complex financial problems faced by executives and analysts@ and help them quantify the financial consequences of strategic decisions.
hhms5003,Data Analysis and Digital Transformation,[2-0-0:2],,,,,,,,The course includes the following topics in business statistics: descriptive statistics@ probability models@ statistical inference@ confidence intervals and hypothesis@ and regression method@ using real data examples and short cases to cover a wide range of business applications. In addition to lectures@ in-class games and experiments are also employed to enhance students# understanding.
hhms5004,Strategic Marketing,[2-0-0:2],,,,,,,,Formulation and implementation of marketing strategy using a framework from which to identify and evaluate strategic marketing alternatives. Students will address decision issues involved in marketing planning at a strategic level@ including market segmentation@ targeting and positioning@ value analysis@ creation and delivery@ competitor analysis@ and marketing mix strategies.
hhms5005,Operations Management,[2-0-0:2],,,,,,,,Introduction to management of business processes that produce goods or services: topics include operations strategy@ process analysis@ queuing systems@ inventory management@ quality management@ process improvement and other important issues.
hhms5006,Managerial Microeconomics,[2-0-0:2],,,,,,,,Warren Buffet once said: $When an industry with a reputation for difficult economics meets a manager with a reputation for excellence@ it is usually the industry that keeps its reputation intact.$ Many managers fail to appreciate the numerous ways in which competition can destroy profitability. This course focuses on understanding individual economic behavior@ competition@ and market characteristics that are relevant to business and management.
hhms5007,Global Macroeconomics,[2-0-0:2],,,,,,,,This course covers the basic theory of short run macroeconomics@ as it has developed since Keynes. The basic framework will be the $IS-LM$ equilibrium method@ in which we analyze the major markets which affect the macroeconomy-labor@ output@ money and foreign exchange markets by studying positions of general equilibrium in them. This framework will be used to analyze fiscal and monetary policies.
hhms5008,Understanding Consumers,[2-0-0:2],,,,,,,,This course focuses on the customer as an individual@ with a particular emphasis on how consumers react to marketing information provided about a product. The topics discussed comprise an examination of basic psychological processes in a logical sequence: i.e.@ exposure@ attention@ perception@ memory@ persuasion@ and decision-making. In addition@ the course also furthers an understanding of consumer behavior by examining its social and cultural context@ with special reference to the nature and importance of cultural differences in consumer behavior around the world.
hhms5009,Strategic Management,[2-0-0:2],,,,,,,,"Strategic Management is about organizations creating their future. The strategic decisions will determine whether a company thrives or declines and fades. Organizations that have a well-thought through strategy enjoy sustained success@ make a contribution to the world and are fun to work for. The course examines the
core strategic concepts and how to apply them in strategic decision-making."
hhms5501,Corporate Governance,[1-0-0:1],HHMS 5002,,,,,,,Corporate governance examines how corporations induce their managers to maximize shareholder value through incentives and monitoring institutions. Incentive plans@ such as compensation packages@ serve to align managerial and shareholder interests@ Monitoring institutions@ such as the board of directors and auditors@ serve to oversee management and increase transparency@ accountability@ and credibility. In addition to these internal governance mechanisms@ corporations are also disciplined by external factors such as product-market competition@ laws and regulation@ and the market for corporate control. This course analyzes how good corporate governance can mitigate incentive and information problems@ nurture great leaders@ and foster great companies.
hhms5502,Managerial Decision Making,[1-0-0:1],,,,,,,,Provide a common managerial decision making framework that can be used as thinking and discussion framework for team to approach all  managerial decisions. This decision making framework can help to align the team members toward the same goal and choose the best decisions for team implementation. This framework has been effectively used across cultural boundaries@ across management levels and functional areas and industries.
hhms5503,Doing Business in China and Asia,[1-0-0:1],,,,,,,,This applied course offers students real world cases illustrating successful and unsuccessful strategies for deal making in China and countries in the Asia Pacific region@ based on instructors# experience in Asia. Students will be involved in group presentations@ giving each group the opportunity to examine in depth a deal making situation.
hhms5504,Effective Negotiation,[2-0-0:2],,,,,,,,In this class students will learn how to negotiate by actually negotiating in a wide variety of different situations@ ranging from simple buyer-seller bargains to complex@ multiple-issue strategic relationships. Generally@ every class will involve several experiential negotiations and class discussion. They will review a wide variety of experiences in the specific negotiation@ develop hypotheses regarding the effectiveness of certain behaviors@ tactics and strategies@ and suggest appropriate analyses that might play a useful role in preparing oneself for future negotiations.
hhms6001,Independent Study,[1-2 credit(s)],,,,,,,,Study of selected business issues under the supervision of a faculty member. The course can only be taken once to satisfy the program requirements of HKUST-SKOLKOVO Executive MBA Program for Eurasia. (Special permission from the Academic Director is required for students to take this course.)
hmma5001,Fundamentals of Chinese Culture,[3-0-0:3],,HMMA 5000 (prior to 2018-19),,,,,,This is an integrated multidisciplinary course on Chinese culture@ aiming to provide students with a broad understanding of the perspectives and methodologies of humanistic studies on Chinese culture across various disciplines@ including history@ anthropology@ literature@ linguistics@ philosophy and religion. Emphasis will be put on the introduction of fundamental concepts and general methodological/theoretical underpinnings of the studies of Chinese culture in humanities perspective. This is a compulsory foundation course for all students in the MA program in Chinese Culture.
hmma5002,Chinese Phonetics and Phonology,[3-0-0:3],,HUMA 5160,,,,,,This course is an introduction to the study of sounds in Mandarin Chinese. The course will cover fundamental concepts in phonetics and phonology and compare the sounds of Mandarin with those of other languages. Other topics include: methodology@ the typology@ learning and evolution of sounds@ the subgrouping of Chinese dialects@ etc.
hmma5003,Chinese Literary History,[3-0-0:3],,HUMA 5300,,,,,,This course aims at familiarizing students with the history of Chinese literature from literary@ historical and theoretical perspectives. Emphasis is on the recent scholarship of major genres in Chinese literary history and their interactions in the context of cultural tradition.
hmma5005,Modern Chinese History,[3-0-0:3],,,,,,,,This course aims at exploring the political and social history of late Imperial and modern China from the 1800s to early 1940s. A selection of important political events and social phenomena are examined to broaden our knowledge of the late-Qing and Republican politics@ society and economy as well as revealing the complexity of historical reality in this period.
hmma5006,Anthropological Studies of China,[3-0-0:3],,HUMA 5700@ MGCS 5031 (prior to 2018-19),,,,,,Anthropological consideration of Chinese culture and society. Special topics in Chinese anthropological studies@ such as kinship@ ethnicity@ religion@ and regional system.
hmma5007,Fundamentals of Chinese Philosophy,[3-0-0:3],,HUMA 5800,,,,,,This course is designed to guide students to in-depth researches into important issues in Chinese philosophy. The subject matter of the course may vary from one year to another depending on the particular interests of the instructors.
hmma5008,Languages of China: Anthropological and Cognitive Dimensions,[3-0-0:3],,HUMA 5230,,,,,,A cross-disciplinary discussion of issues pertaining to social@ historical@ cultural@ and cognitive aspects of languages and dialects of China@ approached from perspectives of areal linguistics@ linguistic anthropology@ and cognitive linguistics.
hmma6200,Independent Study,[3 credits],,HUMA 6100,,,,,,For MA(CC) students only. Students are required to conduct an independent study in a designated subject under the supervision of a faculty member. It may require readings@ tutorial discussions@ and submission of research paper(s). It may be repeated for credit if different topics are studied.
huma5160,Chinese Phonetics and Phonology,[3-0-0:3],,HMMA 5002,,,,HUMA 516,,This course is an introduction to the study of sounds in Mandarin Chinese. The course will cover fundamental concepts in phonetics and phonology and compare the sounds of Mandarin with those of other languages. Other topics include: methodology@ the typology@ learning and evolution of sounds@ the subgrouping of Chinese dialects@ etc.
huma5170,Chinese Historical Lexicology,[3-0-0:3],,,,,,HUMA 517,,This course provides a theoretical and practical introduction to Chinese historical lexicology@ dealing with various issues of Chinese words including word formation@ semantic structures and sense relations of words@ x-bar analysis of Chinese words@ lexicalization@ cultural component of words@ and lexical variation among dialects of Chinese.
huma5180,Chinese Historical Morphology,[3-0-0:3],,,,,,HUMA 518,,This course aims to provide a rigorous and critical introduction to Chinese historical morphology@ dealing with various issues including affixing@ reduplication@ derivation by ablaut and tone change@ formation of etymological words@ interaction between morphological and phonological components.  For comparative purposes@ this course will also deal with the relevant morphological issues in modern dialects.
huma5230,Languages of China: Anthropological and Cognitive Dimensions,[3-0-0:3],,HMMA 5008,,,,HUMA 523@ HUMA 600D,,A cross-disciplinary discussion of issues pertaining to social@ historical@ cultural@ and cognitive aspects of languages and dialects of China@ approached from perspectives of areal linguistics@ linguistic anthropology@ and cognitive linguistics.
huma5240,Chinese Dialectology,[3-0-0:3],,,,,,HUMA 524,,This course will provide an introductory survey of the phonology of Chinese dialects@ including Mandarin@ Wu@ Xiang@ Gan@ Hakka@ Yue and Min.
huma5270,Cantonese Linguistics,[3-0-0:3],,,,,,HUMA 527,,This course deals with various issues of Cantonese@ including sounds and tones@ word formation@ syntax and pragmatics. It will review the history of the language by studying texts from the early 19th century to the present; and examine the current linguistic changes that have redefined Hong Kong speech as a special variety of Cantonese.
huma5280,Cantonese Grammar in Contemporary Linguistic Theories,[3-0-0:3],,,,,,HUMA 528@ HUMA 600F,,A survey of contemporary linguistic theories with special emphasis on the application of these theories to the study of Cantonese grammar.
huma5300,Chinese Literary History,[3-0-0:3],,HMMA 5003,,,,HUMA 530,,This course aims at familiarizing students with the history of Chinese literature from literary@ historical and theoretical perspectives. Emphasis is on the recent scholarship of major genres in Chinese literary history and their interactions in the context of cultural tradition.
huma5310,Traveling Texts and Images: Modern Chinese Literature and Print Culture,[3-0-0:3],,,,,,HUMA 6001U,,This course employs an interdisciplinary approach to examine literary and pictorial magazines and journals from the late Qing to the Republican era. In light of contemporary theories of the public sphere@ travel@ and the interaction between image and text@ we will explore critical issues around the innovative writing practices associated with new print media@ the formation of a literary public space@ the role of the editor@ publisher and reader@ as well as the dynamics between image and word.
huma5330,Traditional Chinese Literary Theory and Criticism,[3-0-0:3],,,,,,HUMA 533,,Aims to familiarize students with the traditional Chinese theories and criticism of literature; advantages and limitations of the various modes of discourses such as prefaces to books@ poetry-talks@ poems on poetry@ literary anthologies@ stray remarks and commentaries.
huma5340,Modern Chinese Literary Criticism,[3-0-0:3],,,,,,HUMA 534,,Examines the transformation of Western literary theories in the Chinese context. Focuses on practices of individual Chinese literary theorists and the relationship between literary criticism and socio-cultural criticism from historical and comparative perspectives.
huma5350,Socialist Film Culture,[3-0-0:3],,,,,,HUMA 6001X,,This graduate course concentrates on the film culture in socialist China (1949-1976). The major theoretical problematic of the course resides in the convoluted relationship between totalitarian politics and film as propaganda and art. Focusing on live-action feature films@ model operas@ animated films@ and documentaries@ this course will explore aspects of film industry@ aesthetics@ authorship@ projection and viewing@ soundscape@ and internationalism. It will also discuss conceptual issues regarding national identity@ ethnicity@ gender@ children@ machines@ and animals against the backdrop of an authoritarian regime. Following a chronological order@ the course will begin with the socialist transition in 1949@ and then move to the Seventeen Years (1949-1966) and the Cultural Revolution (1966-1976).
huma5360,History and Theory of Comparative Literature,[3-0-0:3],,,,,,HUMA 536@ HUMA 601J,,This course offers a critical assessment of the development and methodology of the comparative study of literature as an academic discipline with special emphasis on Chinese-Western comparative studies.
huma5370,Animation Theories,[3-0-0:3],,,,,,,,Animation existed as optical toys long before the birth of cinema@ but it was not until the digital age that animation experienced its explosive boom. Recently animation theories began to emerge as a new field of research@ offering critical interventions in film studies and even challenging our conventional views of the world. This course explores various theoretical issues in animation studies@ such as movement@ stasis@ affect@ automation and agency@ TV serialization@ digitality@ media mix@ sound@ authorship and spectatorship@ animals@ race@ gender@ cuteness@ animism and environment. Animated films made in China@ Japan@ and other parts of the world will be analyzed as case studies.
huma5440,Contemporary Chinese Fiction,[3-0-0:3],,,,,,HUMA 544,,A critical study of development@ trends@ characteristics of the Chinese fiction of the People#s Republic from the early 1980s to the present.
huma5450,Taiwan and Hong Kong Fiction,[3-0-0:3],,,,,,HUMA 545,,A critical study of development@ trends@ characteristics of narrative literature in Taiwan and Hong Kong from the late 1960 to the present from cultural@ historical@ and gender perspectives.
huma5490,Liaozhai and Story Creation,[3-0-0:3],,,,,,,,Strange Tales from a Chinese Studio@ or Liaozhai Zhiyi@ is the most outstanding short story collection in classical Chinese literature. Crafted by Pu Songling (1640-1715) during the Kangxi period of the Qing Dynasty@ this book contains more than 500 stories and depicts an array of characters in the society@ such as court officials@ civilians@ intellectuals@ merchants@ peasants@ pawns@ and labours. It tells various stories about fox fairies@ ghosts@ gods from heaven in spatial settings including city and village@ earth and ocean@ the human world and the hell. Strange Tales from a Chinese Studio also brings a rich touch of humanities in plurality and diversity. Accordingly@ this course intends to evoke students# imaginability as well as creativity in novel creation through analyses on Pu Songling#s Strange Tales from a Chinese Studio and investigations on the contemporary Chinese short stories and traditional Chinese literary cannons.
huma5510,Pre-Modern Chinese History,[3-0-0:3],,HMMA 5004 (prior to 2021-22),,,,HUMA 551,,Exploration of major and substantive issues in pre-modern Chinese history. Approaches to the subject can be political@ social@ cultural@ intellectual@ or comparative.
huma5520,Modern Chinese History,[3-0-0:3],,,,,,HUMA 552,,Exploration of major and substantive issues in modern Chinese history. Approaches to the subject can be political@ social@ cultural@ intellectual@ or comparative.
huma5530,Chinese Diasporas: A Global History,[3-0-0:3],,,,,,,,Before 1700@ the Chinese population was concentrated in core areas of China Proper. Nonetheless@significant numbers of Chinese people moved to the frontiers of an expanding empire and across it borders@ while Chinese families adapted to migration as a way of life. Critically employing the notion of $diasporas@$ this course traces this worldwide circulation of Chinese people over the ensuing three centuries.
huma5590,Southwest China and Southeast Asia,[3-0-0:3],,,,,,,,This course explores new ways of understanding the history of Southwest China and mainland Southeast Asia (SEA)@ 8th–19th centuries. In the past@ Southwest China@ particularly Yunnan@ has been conceptualised as an area both remote from the Chinese political centre and isolated from the outside world@ but an analysis of historical data concerning the formation of kingdoms and polities@ trade routes@ and the movement of people offers a different interpretation. It demonstrates that far from being isolated@ the two areas overlap@ and in reality are bonded by political@ cultural and ethnic ties. Analysis of historical data provides a vibrant perspective for understanding Southwest China@ not as an area at the margins of Chinese and SEA history@ but as a vital link in a chain that connects SEA with the worlds of China and Tibet. Emphasis on interconnection highlights a fundamental relationship between both regions@ and offers students a framework for understanding the increased presence of China in mainland SEA in recent years.
huma5620,Chinese Painting: Meanings and Uses,[3-0-0:3],,,,,,HUMA 562,,This course will examine Chinese painting from the Song through the Qing dynasties by categories based on function and meaning@ trying to understand how@ within each category@ the forms of the painting carry a variety of private or public meanings and enable it to perform its symbolic@ discursive@ social or political functions.
huma5625,Painting and Modernity in China: Qing and After,[3-0-0:3],,,,,,HUMA 6002F,,This course examines the manifestations and expressions of modernity@ both as artistic subjectivity and socioeconomic condition@ in Chinese painting. Issues such as tradition and innovation@ artistic autonomy and commercialization@ reform and western influence@ etc.@ will be discussed by looking at painters and their artistic productions from the late Qing to the post-Mao era.
huma5655,Contracts and Order in Chinese Local Society@ 600-1911 AD,[3-0-0:3],,,,,,HUMA 6002R,,This course explores the role played by contracts and agreements in maintaining order in local society in pre-modern China@ with an emphasis on demonstrating their value as sources for historical analysis. Main themes include use of contracts in daily life@ categorization of contracts@ functions of oral agreements and written contracts@ settlement of disputes by customary law and civil litigation@ power of local elites and the hierarchical background supporting contractual relations. Contracts and documents concern multi-ethnic areas in Southwest China@ and students must possess the ability to read them in the original. Discussions will include not only deep reading of contracts@ textual and historical analysis@ but also their role as instruments of social control. This course is designed to guide students in creatively using contracts as sources for social history and is not a mere factual and descriptive account of Chinese contracts.
huma5660,City and Urban Life in Late-Imperial and Modern China,[3-0-0:3],,,,,,HUMA 566,,The complexity of urban realities in the Chinese city will be revealed through examining the general perceptions and attitudes toward it@ and studying its certain features of everyday existence.
huma5685,Peasants and the Chinese Communist Party,[3-0-0:3],,,,,,HUMA 6002P,,This course examines the historical origins and evolution of the complex relations between Chinese peasants and the Chinese Communist Party in the 20th century. It explores some of the most important events@ persistent issues@ and recurring themes through the Communist revolution and post-revolution. It also introduces students to major competing interpretations by Chinese and western scholars.
huma5690,Major Issues in the History of U.S.-China Relations,[3-0-0:3],,,,,,HUMA 602H,,This course examines the historical origins and evolution of the complex relations between China and the United States from the early 19th century to the late 20th century. It explores some of the most important events and persistent issues in political@ military@ economic@ and cultural relations between the two countries. It also introduces students to major competing interpretations by American and Chinese scholars.
huma5695,Fascism,[3-0-0:3],,HUMA 602N,,,,,,This course aims to provide students with an introduction to the comparative study of twentieth-century dictatorships. Course readings will focus on Italian Fascism and National Socialism@ but the overarching theoretical perspectives will be relevant to students of non-European dictatorships as well.
huma5696,The Culture of Capitalism,[3-0-0:3],,,,,,HUMA 6002I@ HUMA 602I,,This course surveys classic works of European social thought on the nature of capitalism and its relationship with culture@ where culture is understood in both aesthetic and anthropological senses. What is capitalism? What kind of culture – attitudes@ human relationships@ and values – does it promote or presuppose? What impact has it made on cultural artifacts such as literature@ art@ philosophy@ and social thought? These are some of the primary questions we shall consider. No previous background in European history or social thought is required.
huma5700,Anthropological Studies of China,[3-0-0:3],,HMMA 5006@ MGCS 5031 (prior to 2018-19),,,,HUMA 5540@ HUMA 554,,Anthropological consideration of Chinese culture and society. Special topics in Chinese anthropological studies@ such as kinship@ ethnicity@ religion@ and regional system.
huma5750,Family and Lineage in South China,[3-0-0:3],,,,,,HUMA 575,,Studies the basic social structure of South China in its cultural context@ focusing on the creation of descent groups and their interaction with local societies and the state. Field research is required.
huma5755,Ethnicity in Chinese Context,[3-0-0:3],,,,,,HUMA 602G,,"This course explores the issue of ethnicity in China in the context of a nation-state. Issues of nationalism@ ethnic identities@ and ethnic diversity will be examined from
anthropological perspectives."
huma5770,Field Research: Theory and Practice,[3-0-0:3],,MGCS 5031 (prior to 2018-19),,,,HUMA 5550@ HUMA 555,,Theories@ methods@ and techniques in ethnographic field research are explored. Students conduct individual and group research projects.
huma5800,Fundamentals of Chinese Philosophy,[3-0-0:3],,HMMA 5007,,,,HUMA 580,,This course is designed to guide students to in-depth researches into important issues in Chinese philosophy. The subject matter of the course may vary from one year to another depending on the particular interests of the instructors.
huma5810,Confucianism: Classical Period,[3-0-0:3],,,,,,HUMA 581,,Philosophies of Confucius@ Mencius and Hsiin Tzu. The major Confucian concepts that have significant impact on the formation of the Chinese minds.
huma5820,Confucianism: Song and Ming Periods,[3-0-0:3],,,,,,HUMA 582,,A course on the Song and Ming Neo-Confucianism as a revivalist movement. Close reading and exploration of a selected number of texts.
huma5830,Confucianism: Contemporary Period,[3-0-0:3],,,,,,HUMA 583,,A critical study of Contemporary Neo-Confucianism. Topics such as #intellectual intuition#@ #transcendent immanence#@ #ineffability#@ and #the new kingliness without# will be explored.
huma5840,Chinese Buddhism,[0-3-0:3],,,,,,HUMA 584,,This course provides a critical survey of the basic problems and ideas of various schools of Chinese Buddhism based on an analytical study of their writings. It includes an exposition of the characteristics of Chinese Buddhism through a comparative study with Indian Buddhism.
huma5842,Buddhist Philosophy,[3-0-0:3],,MGCS 6000C,,,,,,This course provides an introduction to selected canonical and non-canonical sources of Buddhist thought and practice. It offers a critical examination of the philosophical ideas and arguments of Buddhist traditions in South Asia and East Asia and an exploration of the history of Buddhism with an emphasis on its basic doctrines@ interpretive strategies@ and philosophies.
huma5850,Taoism,[3-0-0:3],,,,,,HUMA 585@ HUMA 603C,,This course introduces the students to the Taoist tradition through guiding them to the major Taoist texts@ their representative commentaries@ and the important scholarly works in the field.
huma5900,Fundamentals of Comparative Philosophy,[3-0-0:3],,,,,,HUMA 590,,This course invites students to such comparative philosophical themes as Transcendent and Immanent@ Fate and Free Will@ Death and Rebirth@ Faith and Reason@ Spirituality and Morality@ and Logic and Language.
huma5910,Philosophy of Religion: East and West,[3-0-0:3],,,,,,,,In this course@ we will explore classic questions in the philosophy of religion from a comparative and intercultural perspective. We will examine topics such as the scope and limits of religious experience and argumentation@ the relationship between ethics and religion@ the existence and nature of God and the soul@ the problem of evil and suffering@ and conceptions of salvation and existence of after death. This course will involve a comparative and intercultural approach to Eurasian traditions@ drawing on atheistic@ Buddhist@ Christian@ Confucian@ Daoist@ Hindu@ Islamic@ and Jewish philosophical sources.
huma5930,Classical Chinese Philosophy,[3-0-0:3],,,,,,,,This course examines the intellectual development of early Chinese by focusing on four major schools: Confucianism@ Mohism@ Daoism@ and Legalism. This course will introduce representative philosophers in ancient China@ such as Confucius@ Mozi@ Laozi@ Zhuangzi@ Xunzi@ Hanfeizi@ and Mencius. We will explore their thoughts in ethics@ human nature@ metaphysics@ and self-cultivation. We will read translations of major texts with commentaries and interpretations.
huma6000-6003,Special Topics,[3-0-0:3],,,,,,HUMA 600-603,,Coherent collection of topics selected from the humanities. The course may be repeated for credit if the topics studied are different. (Some of the Special Topic courses may require students to read materials in Chinese. Students who have difficulty reading materials in Chinese should consult the instructor concerned prior to enrolling in these courses.)
huma6100,Independent Study,[1-3 credit(s)],,HMMA 6200,,,,HUMA 610,,Independent study on a particular subject under the supervision of a faculty member; requires readings@ tutorial discussions@ and submission of one or more research papers; may be repeated for credit if different topics are studied. Regular students are required to enroll in a 3-credit course. Enrollment in a course below 3 credits requires the Division#s approval.
huma6200,Research Project in Humanities,[0-3-0:3],,,HUMA 6300,,,,,This course provides a systematic skill-based training in the production of publishable research output and an independent research project on chosen topic conducted under the supervision of the student#s academic supervisor. The student is required to produce a substantial research paper at the end of semester@ make an oral presentation at the Division#s PG Seminar@ and submit it to a journal in due course. Mandatory for PhD students in Humanities.
huma6300,Postgraduate Seminar,[0-1-0:1],,,,,,,,Students are required to register in HUMA 6300 Postgraduate Seminar for two regular terms. Students are expected to attend public lectures/seminars organized in each regular term and then present a research paper and serve as discussant in a one-day symposium to be held in the second term. Graded PP@ P or F.
huma6990,MPhil Thesis Research, ,,,,,,HUMA 699,,Master#s thesis research supervised by a faculty member.  A successful defense of the thesis leads to the grade Pass.  No course credit is assigned.
huma7990,Doctoral Thesis Research, ,,,,,,HUMA 799,,Original and independent doctoral thesis research.  A successful defense of the thesis leads to the grade Pass.  No course credit is assigned.
ibtm5010,Intelligent Building Facility Management,[3-0-0:3],,,,,,IBTM 501,,Business framework and strategic approach for facility and energy management@ due diligence auditing@ project management tools and processes@ assessing performance requirements over the facility lifecycle@ energy efficiency@ life safety systems@ IT infrastructure and information systems@ workplace automation.
ibtm5050,Intelligent Building System,[3-0-0:3],,,,,,IBTM 505,,Automation@ communication and security; mechanical@ electrical@ electronic subsystems and their integration with the building envelope; environment@ energy and sustainability; configuration and operational characteristics; performance specifications; analytical models; design methods; and case studies.
ibtm5060,Building Internet of Things: Technologies@ Big Data and Strategies for the Building Manager,[3-0-0:3],,,,,,IBTM 6010E,,Going beyond building automation@ the Building Internet of Things (BIoT) is a development which will herald in a new breed of intelligent buildings that are driving real value and greater performance for all stakeholders. This multi-faceted drive encompasses technologies in building services installations@ hardware infrastructure and data connectivity. Combined with tools from big data analytics and economic@ behavioral and environmental considerations@ it enables better strategic decisions for building managers and property owners to consider the building in the context of smart cities and smart occupants.
ibtm5150,Advanced HVAC Systems,[3-0-0:3],,,,,,IBTM 515,,This course introduces the advanced heating@ ventilation@ air-conditioning and refrigeration systems.  Topics include refrigeration@ psychometrics@ solar radiation@ heating and cooling loads in buildings and design of duct and piping systems.  Theory and analysis are emphasized throughout.
ibtm5200,Advanced Energy Conversion Systems,[3-0-0:3],,,,,,IBTM 520,,Theory and development state of advanced energy conversion systems including fuel cells@ solar energy@ heat pipes@ heat pumps@ thermoelectrical cooling@ and other advanced systems.
ibtm5300,Computational Methods in Building Environment Design,[3-0-0:3],,,,,,IBTM 530,,Fluid dynamics and transport of energy and contaminants in building environment; modeling of turbulent mixing; concepts and techniques of computational fluid dynamics (CFD); applications of CFD to indoor and outdoor environmental problems; case studies and projects.
ibtm5330,Energy Management in Buildings,[3-0-0:3],,,,,,IBTM 533,,Renewable and non-renewable energy resources@ review of energy conversion technologies@ energy use in domestic/non-domestic buildings@ energy economics@ design guides@ energy management and energy auditing.
ibtm5430,Indoor Air Quality Technology and Management,[3-0-0:3],,MECH 4350,,,,IBTM 543,,Discussion of the various air contaminants in the indoor environment and their transport phenomena@ sick building syndrome@ building related diseases@ thermal comfort@ ventilation theory@ advanced ventilation systems@ air treatment systems@ indoor air quality assessment and mitigation strategy@ indoor air quality management in intelligent buildings.
ibtm5460,Materials in Built Environment,[3-0-0:3],,,,,,IBTM 546,,Overview of materials issues in indoor environment as related to the structural and environmental performance of buildings@ including organic sources of pollution. Detailed coverage on the materials science of building materials will be covered not only from the physical and chemical perspective@ but also from the performance and pollution perspective. The learned materials science will be illustrated using practical cases studies on structural@ thermal and environmental performance.
ibtm5500,Occupational Safety and Health Issues in Buildings,[3-0-0:3],,,,,,IBTM 550,,This course introduces various occupational safety health issues in buildings@ particularly those required by the Occupational Safety and Health Ordinance and other local regulations.  Emphasis will be on the practical aspects of fire and life safety@ lighting@ general ventilation@ exhaust ventilation@ occupational hygiene@ and hazardous material management.
ibtm5530,Risk Management and Decision-Making in Intelligent Building,[3-0-0:3],,,,,,IBTM 553,,This course aims to provide an understanding of the definition of risk@ perception of risk@ social acceptability of risk@ risk assessment and management techniques@ principle and process of risk management@ contingency plans and disaster recovery@ principle and process of risk-informed decision@ multi-attribute utility theory@ analytical hierarchical process and cost-risk benefit analysis in intelligent building management.
ibtm5550,Financial Assessment of Intelligent Building Systems,[3-0-0:3],,,,,,IBTM 601C,,Modern technological advancements of intelligent building systems could provide safe@ healthy and comfortable living with conveniences. The success of deploying these systems that are technically feasible requires accurate financial assessment. Basic tools and methods of financial assessment will be introduced to analyze the state-of-the-art technologies that could make the buildings inspirational in the contemporary and life cycle analyses of these inventions and power logistics offer solutions to secure sustainability for the humanity.
ibtm5620,Electrical Facilities in Intelligent Buildings,[3-0-0:3],,,,,,IBTM 601A,,This course tries to equip students with the required knowledge to appreciate@ specify and comment on what is a reliable as well as energy efficient electricity supply and consumption system for intelligent buildings. At the same time@ those major electrical energy consuming appliances and systems in intelligent buildings are included as they heavily rely on a reliable and efficient electricity supply network. This will uplift the ability of students in designing better systems for intelligent buildings and managing their daily operations.
ibtm5630,Micro Sensors for Smart Buildings,[3-0-0:3],,,,,,IBTM 6010D,,Introduction to MEMS@ physics of scaling@ energy transduction@ sensing principles; micro-fabrication technology and technology@ fundamentals of key micro sensors for smart buildings and smart home@ signal conditioning@ microprocessor based controllers for smart building; micro sensors using CMOS MEMS technology; case study about micro sensors in smart buildings; open-source Aduino platform for practical smart sensor system design.
